proyecto,fecha,titulo,estado,proponente,autores,fecha_limpia,proyecto_limpio,titulo_limpio,partido_politico,autores_limpios,num_autores,tipo_proyecto,region,fecha_datetime,año,mes,dia_semana,estado_limpio
12888/2025-CR,17/10/2025,PROYECTO DE LEY QUE ESTABLECE LA EQUIDAD EN LA ASIGNACIÓN DE AGUINALDOS Y BONIFICACIÓN POR ESCOLARIDAD PARA LOS TRABAJADORES DEL SECTOR PÚBLICO,E,P,"Montalvo Cubas, Segundo Toribio, Cruz Mamani, Flavio, Agüero Gutiérrez, María Antonieta ver más...",17/10/2025,12888/2025-CR,PROYECTO DE LEY QUE ESTABLECE LA EQUIDAD EN LA ASIGNACIÓN DE AGUINALDOS Y BONIFICACIÓN POR ESCOLARIDAD PARA LOS TRABAJADORES DEL SECTOR PÚBLICO,DESCONOCIDO,"['Montalvo Cubas', 'Segundo Toribio', 'Cruz Mamani', 'Flavio', 'Agüero Gutiérrez', 'María Antonieta']",6,TRABAJO,ICA,2025-10-17,2025,10,Friday,E
12887/2025-CR,17/10/2025,PROYECTO DE LEY QUE MODIFICA EL CÓDIGO PROCESAL PENAL E INCORPORA EL PROCESO ESPECIAL CÉLERE PARA LOS DELITOS DE EXTORSIÓN Y SICARIATO,E,P,"Chacón Trujillo, Nilza Merly, Revilla Villanueva, César Manuel, Moyano Delgado, Martha Lupe ver más...",17/10/2025,12887/2025-CR,PROYECTO DE LEY QUE MODIFICA EL CÓDIGO PROCESAL PENAL E INCORPORA EL PROCESO ESPECIAL CÉLERE PARA LOS DELITOS DE EXTORSIÓN Y SICARIATO,DESCONOCIDO,"['Chacón Trujillo', 'Nilza Merly', 'Revilla Villanueva', 'César Manuel', 'Moyano Delgado', 'Martha Lupe']",6,SEGURIDAD,ICA,2025-10-17,2025,10,Friday,E
12886/2025-CR,17/10/2025,PROYECTO DE LEY QUE ESTABLECE LOS LINEAMIENTOS DE EDUCACIÓN SEXUAL PARA LA EDUCACIÓN BÁSICA,E,P,"Medina Minaya, Esdras Ricardo, Jáuregui Martínez de Aguayo, María de los Milagros Jackeline, Chirinos Venegas, Patricia Rosa ver más...",17/10/2025,12886/2025-CR,PROYECTO DE LEY QUE ESTABLECE LOS LINEAMIENTOS DE EDUCACIÓN SEXUAL PARA LA EDUCACIÓN BÁSICA,DESCONOCIDO,"['Medina Minaya', 'Esdras Ricardo', 'Jáuregui Martínez de Aguayo', 'María de los Milagros Jackeline', 'Chirinos Venegas', 'Patricia Rosa']",6,EDUCACION,ICA,2025-10-17,2025,10,Friday,E
12885/2025-CR,17/10/2025,"PROYECTO DE LEY QUE MODIFICA LA LEY 27688, LEY DE ZONA FRANCA Y ZONA COMERCIAL DE TACNA, PARA ZONA DE EXTENSIÓN EN EL DISTRITO DE LA YARADA-LOS PALOS, PROVINCIA Y DEPARTAMENTO DE TACNA",E,P,"López Ureña, Ilich Fredy, Martínez Talavera, Pedro Edwin, Alva Rojas, Carlos Enrique ver más...",17/10/2025,12885/2025-CR,"PROYECTO DE LEY QUE MODIFICA LA LEY 27688, LEY DE ZONA FRANCA Y ZONA COMERCIAL DE TACNA, PARA ZONA DE EXTENSIÓN EN EL DISTRITO DE LA YARADA-LOS PALOS, PROVINCIA Y DEPARTAMENTO DE TACNA",DESCONOCIDO,"['López Ureña', 'Ilich Fredy', 'Martínez Talavera', 'Pedro Edwin', 'Alva Rojas', 'Carlos Enrique']",6,OTROS,ICA,2025-10-17,2025,10,Friday,E
12884/2025-CR,17/10/2025,"PROYECTO DE LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL EL RECONOCIMIENTO COMO PATRIMONIO CULTURAL DE LA NACIÓN A LA FESTIVIDAD RITUAL “WAKATAKI-TORIL GRAUINO” DE LA PROVINCIA DE GRAU, DEL DEPARTAMENTO DE APURÍMAC",E,P,"Taipe Coronado, María Elizabeth, Cruz Mamani, Flavio, Mita Alanoca, Isaac ver más...",17/10/2025,12884/2025-CR,"PROYECTO DE LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL EL RECONOCIMIENTO COMO PATRIMONIO CULTURAL DE LA NACIÓN A LA FESTIVIDAD RITUAL WAKATAKI-TORIL GRAUINO DE LA PROVINCIA DE GRAU, DEL DEPARTAMENTO DE APURÍMAC",DESCONOCIDO,"['Taipe Coronado', 'María Elizabeth', 'Cruz Mamani', 'Flavio', 'Mita Alanoca', 'Isaac']",6,CULTURA,ICA,2025-10-17,2025,10,Friday,E
12883/2025-CR,17/10/2025,"PROYECTO DE LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CREACIÓN DEL INSTITUTO SUPERIOR PÚBLICO TECNOLÓGICO DE COYLLURQUI, UBICADO EN EL DISTRITO DE COYLLURQUI, PROVINCIA DE COTABAMBAS, DEPARTAMENTO DE APURÍMAC",E,P,"Taipe Coronado, María Elizabeth, Cruz Mamani, Flavio, Mita Alanoca, Isaac ver más...",17/10/2025,12883/2025-CR,"PROYECTO DE LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CREACIÓN DEL INSTITUTO SUPERIOR PÚBLICO TECNOLÓGICO DE COYLLURQUI, UBICADO EN EL DISTRITO DE COYLLURQUI, PROVINCIA DE COTABAMBAS, DEPARTAMENTO DE APURÍMAC",DESCONOCIDO,"['Taipe Coronado', 'María Elizabeth', 'Cruz Mamani', 'Flavio', 'Mita Alanoca', 'Isaac']",6,EDUCACION,ICA,2025-10-17,2025,10,Friday,E
12882/2025-CR,17/10/2025,PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA PRESERVACIÓN Y DIFUSIÓN DEL ZAPATEO AFROPERUANO Y RECONOCE A SUS INICIADORES HISTÓRICOS,E,P,"Paredes Piqué, Susel Ana María, Reymundo Mercado, Edgard Cornelio, Bazán Narro, Sigrid Tesoro ver más...",17/10/2025,12882/2025-CR,PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL LA PRESERVACIÓN Y DIFUSIÓN DEL ZAPATEO AFROPERUANO Y RECONOCE A SUS INICIADORES HISTÓRICOS,DESCONOCIDO,"['Paredes Piqué', 'Susel Ana María', 'Reymundo Mercado', 'Edgard Cornelio', 'Bazán Narro', 'Sigrid Tesoro']",6,OTROS,,2025-10-17,2025,10,Friday,E
12881/2025-CR,17/10/2025,"PROYECTO DE LEY QUE ESTABLECE ACCIONES PARA LA RECUPERACIÓN, REMEDIACIÓN Y CONSERVACIÓN ECOLÓGICA DE LA LAGUNA DE PACUCHA, ASÍ COMO SU PROMOCIÓN TURÍSTICA, UBICADA EN EL DISTRITO DE PACUCHA, DE LA PROVINCIA DE ANDAHUAYLAS, DEL DEPARTAMENTO DE APURÍMAC",E,P,"Taipe Coronado, María Elizabeth, Cruz Mamani, Flavio, Mita Alanoca, Isaac ver más...",17/10/2025,12881/2025-CR,"PROYECTO DE LEY QUE ESTABLECE ACCIONES PARA LA RECUPERACIÓN, REMEDIACIÓN Y CONSERVACIÓN ECOLÓGICA DE LA LAGUNA DE PACUCHA, ASÍ COMO SU PROMOCIÓN TURÍSTICA, UBICADA EN EL DISTRITO DE PACUCHA, DE LA PROVINCIA DE ANDAHUAYLAS, DEL DEPARTAMENTO DE APURÍMAC",DESCONOCIDO,"['Taipe Coronado', 'María Elizabeth', 'Cruz Mamani', 'Flavio', 'Mita Alanoca', 'Isaac']",6,OTROS,ICA,2025-10-17,2025,10,Friday,E
12880/2025-CR,17/10/2025,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN E IMPLEMENTACIÓN DEL INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO PÚBLICO DE PAMPACHIRI DEL DISTRITO DE PAMPACHIRI, DE LA PROVINCIA DE ANDAHUAYLAS DEL DEPARTAMENTO DE APURÍMAC",E,P,"Taipe Coronado, María Elizabeth, Cruz Mamani, Flavio, Mita Alanoca, Isaac ver más...",17/10/2025,12880/2025-CR,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN E IMPLEMENTACIÓN DEL INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO PÚBLICO DE PAMPACHIRI DEL DISTRITO DE PAMPACHIRI, DE LA PROVINCIA DE ANDAHUAYLAS DEL DEPARTAMENTO DE APURÍMAC",DESCONOCIDO,"['Taipe Coronado', 'María Elizabeth', 'Cruz Mamani', 'Flavio', 'Mita Alanoca', 'Isaac']",6,EDUCACION,ICA,2025-10-17,2025,10,Friday,E
12879/2025-CR,17/10/2025,"PROYECTO DE LEY QUE DISPONE LA INCORPORACIÓN DEL PERSONAL DE LA EMPRESA DE SEGURIDAD, VIGILANCIA Y CONTROL - ESVICSAC A ESSALUD BAJO EL RÉGIMEN DEL DECRETO LEGISLATIVO 728",E,P,"Taipe Coronado, María Elizabeth, Cruz Mamani, Flavio, Mita Alanoca, Isaac ver más...",17/10/2025,12879/2025-CR,"PROYECTO DE LEY QUE DISPONE LA INCORPORACIÓN DEL PERSONAL DE LA EMPRESA DE SEGURIDAD, VIGILANCIA Y CONTROL - ESVICSAC A ESSALUD BAJO EL RÉGIMEN DEL DECRETO LEGISLATIVO 728",DESCONOCIDO,"['Taipe Coronado', 'María Elizabeth', 'Cruz Mamani', 'Flavio', 'Mita Alanoca', 'Isaac']",6,SALUD,,2025-10-17,2025,10,Friday,E
12878/2025-CR,17/10/2025,PROYECTO DE LEY QUE MODIFICA EL ARTÍCULO 1385 DEL CÓDIGO CIVIL,E,P,"Ugarte Mamani, Jhakeline Katy, Sánchez Palomino, Roberto Helbert, Varas Meléndez, Elías Marcial ver más...",17/10/2025,12878/2025-CR,PROYECTO DE LEY QUE MODIFICA EL ARTÍCULO 1385 DEL CÓDIGO CIVIL,DESCONOCIDO,"['Ugarte Mamani', 'Jhakeline Katy', 'Sánchez Palomino', 'Roberto Helbert', 'Varas Meléndez', 'Elías Marcial']",6,OTROS,ICA,2025-10-17,2025,10,Friday,E
12877/2025-CR,17/10/2025,"PROYECTO DE LEY QUE MODIFICA EL ARTÍCULO 30 DE LA LEY 30407, LEY DE PROTECCIÓN Y BIENESTAR ANIMAL, PARA PRECISAR RESPONSABLES DE APLICAR SANCIONES",E,P,"Ugarte Mamani, Jhakeline Katy, Sánchez Palomino, Roberto Helbert, Varas Meléndez, Elías Marcial ver más...",17/10/2025,12877/2025-CR,"PROYECTO DE LEY QUE MODIFICA EL ARTÍCULO 30 DE LA LEY 30407, LEY DE PROTECCIÓN Y BIENESTAR ANIMAL, PARA PRECISAR RESPONSABLES DE APLICAR SANCIONES",DESCONOCIDO,"['Ugarte Mamani', 'Jhakeline Katy', 'Sánchez Palomino', 'Roberto Helbert', 'Varas Meléndez', 'Elías Marcial']",6,OTROS,ICA,2025-10-17,2025,10,Friday,E
12876/2025-CR,17/10/2025,PROYECTO DE LEY QUE GARANTIZA LA IGUALDAD RETRIBUTIVA Y LA NO DISCRIMINACIÓN EN LA REMUNERACIÓN DE LOS JUECES SUPERNUMERARIOS CON LOS JUECES TITULARES DEL PODER JUDICIAL,E,P,"Aragón Carreño, Luis Ángel, Martínez Talavera, Pedro Edwin, Vergara Mendoza, Elvis Hernán ver más...",17/10/2025,12876/2025-CR,PROYECTO DE LEY QUE GARANTIZA LA IGUALDAD RETRIBUTIVA Y LA NO DISCRIMINACIÓN EN LA REMUNERACIÓN DE LOS JUECES SUPERNUMERARIOS CON LOS JUECES TITULARES DEL PODER JUDICIAL,DESCONOCIDO,"['Aragón Carreño', 'Luis Ángel', 'Martínez Talavera', 'Pedro Edwin', 'Vergara Mendoza', 'Elvis Hernán']",6,OTROS,,2025-10-17,2025,10,Friday,E
12875/2025-CR,17/10/2025,PROYECTO DE LEY QUE MODIFICA LA LEY 29571- CÓDIGO DE PROTECCIÓN AL CONSUMIDOR CON EL OBJETO DE FORTALECER EL DERECHO A LA INFORMACIÓN DE LOS CONSUMIDORES,E,P,"Reymundo Mercado, Edgard Cornelio, Bazán Narro, Sigrid Tesoro, Luque Ibarra, Ruth ver más...",17/10/2025,12875/2025-CR,PROYECTO DE LEY QUE MODIFICA LA LEY 29571- CÓDIGO DE PROTECCIÓN AL CONSUMIDOR CON EL OBJETO DE FORTALECER EL DERECHO A LA INFORMACIÓN DE LOS CONSUMIDORES,DESCONOCIDO,"['Reymundo Mercado', 'Edgard Cornelio', 'Bazán Narro', 'Sigrid Tesoro', 'Luque Ibarra', 'Ruth']",6,OTROS,ICA,2025-10-17,2025,10,Friday,E
12874/2025-CR,17/10/2025,"PROYECTO DE LEY QUE DEROGA LA LEY 32123, LEY DE MODERNIZACIÓN DEL SISTEMA PREVISIONAL PERUANO, PARA GARANTIZAR LAS PENSIONES DIGNAS DE LOS APORTANTES Y PENSIONISTAS A NIVEL NACIONAL",E,P,"Cruz Mamani, Flavio, Agüero Gutiérrez, María Antonieta, Taipe Coronado, María Elizabeth ver más...",17/10/2025,12874/2025-CR,"PROYECTO DE LEY QUE DEROGA LA LEY 32123, LEY DE MODERNIZACIÓN DEL SISTEMA PREVISIONAL PERUANO, PARA GARANTIZAR LAS PENSIONES DIGNAS DE LOS APORTANTES Y PENSIONISTAS A NIVEL NACIONAL",DESCONOCIDO,"['Cruz Mamani', 'Flavio', 'Agüero Gutiérrez', 'María Antonieta', 'Taipe Coronado', 'María Elizabeth']",6,OTROS,,2025-10-17,2025,10,Friday,E
12873/2025-CR,17/10/2025,"PROYECTO DE LEY QUE MODIFICA EL ARTÍCULO 2 DE LA LEY 25129 PARA EXTENDER LA ASIGNACIÓN FAMILIAR, SIN LÍMITE DE EDAD, A TRABAJADORES CON HIJOS CON DISCAPACIDAD SEVERA.",E,P,"Paredes Gonzales, Alex Antonio, Zegarra Saboya, Ana Zadith, Valer Pinto, Héctor ver más...",17/10/2025,12873/2025-CR,"PROYECTO DE LEY QUE MODIFICA EL ARTÍCULO 2 DE LA LEY 25129 PARA EXTENDER LA ASIGNACIÓN FAMILIAR, SIN LÍMITE DE EDAD, A TRABAJADORES CON HIJOS CON DISCAPACIDAD SEVERA.",DESCONOCIDO,"['Paredes Gonzales', 'Alex Antonio', 'Zegarra Saboya', 'Ana Zadith', 'Valer Pinto', 'Héctor']",6,TRABAJO,ICA,2025-10-17,2025,10,Friday,E
12872/2025-CR,17/10/2025,"PROYECTO DE LEY QUE INCORPORA AL RÉGIMEN LABORAL DEL DECRETO LEGISLATIVO 728 A LOS TRABAJADORES BAJO EL RÉGIMEN DE CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS EN LA SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCÍAS – SUTRAN.",E,P,"Paredes Gonzales, Alex Antonio, Zegarra Saboya, Ana Zadith, Valer Pinto, Héctor ver más...",17/10/2025,12872/2025-CR,"PROYECTO DE LEY QUE INCORPORA AL RÉGIMEN LABORAL DEL DECRETO LEGISLATIVO 728 A LOS TRABAJADORES BAJO EL RÉGIMEN DE CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS EN LA SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCÍAS  SUTRAN.",DESCONOCIDO,"['Paredes Gonzales', 'Alex Antonio', 'Zegarra Saboya', 'Ana Zadith', 'Valer Pinto', 'Héctor']",6,TRABAJO,,2025-10-17,2025,10,Friday,E
12871/2025-CR,17/10/2025,"PROYECTO DE LEY QUE GARANTIZA LA CONTINUIDAD DEL PROCESO DE FORMALIZACIÓN DE LA PEQUEÑA MINERÍA Y MINERÍA ARTESANAL, MODIFICANDO EL ARTÍCULO 6 DEL DECRETO LEGISLATIVO 1293",E,P,"Quispe Mamani, Wilson Rusbel, Sánchez Palomino, Roberto Helbert, Cutipa Ccama, Víctor Raúl ver más...",17/10/2025,12871/2025-CR,"PROYECTO DE LEY QUE GARANTIZA LA CONTINUIDAD DEL PROCESO DE FORMALIZACIÓN DE LA PEQUEÑA MINERÍA Y MINERÍA ARTESANAL, MODIFICANDO EL ARTÍCULO 6 DEL DECRETO LEGISLATIVO 1293",DESCONOCIDO,"['Quispe Mamani', 'Wilson Rusbel', 'Sánchez Palomino', 'Roberto Helbert', 'Cutipa Ccama', 'Víctor Raúl']",6,CULTURA,ICA,2025-10-17,2025,10,Friday,E
12870/2025-CR,17/10/2025,PROYECTO DE LEY DE PROTECCIÓN Y USO EXCLUSIVO DE LOS INMUEBLES DE LA POLICÍA NACIONAL DEL PERÚ,E,P,"Chirinos Venegas, Patricia Rosa, Yarrow Lumbreras, Norma Martina, Medina Minaya, Esdras Ricardo ver más...",17/10/2025,12870/2025-CR,PROYECTO DE LEY DE PROTECCIÓN Y USO EXCLUSIVO DE LOS INMUEBLES DE LA POLICÍA NACIONAL DEL PERÚ,DESCONOCIDO,"['Chirinos Venegas', 'Patricia Rosa', 'Yarrow Lumbreras', 'Norma Martina', 'Medina Minaya', 'Esdras Ricardo']",6,SEGURIDAD,,2025-10-17,2025,10,Friday,E
12869/2025-CR,17/10/2025,PROYECTO DE LEY QUE REGULA LA ADJUDICACIÓN DE LOTES Y EDIFICACIONES ESTATALES DESTINADOS AL FUNCIONAMIENTO DE MERCADOS O CENTROS DE ABASTOS,E,P,"Chirinos Venegas, Patricia Rosa, Yarrow Lumbreras, Norma Martina, Ciccia Vásquez, Miguel Ángel ver más...",17/10/2025,12869/2025-CR,PROYECTO DE LEY QUE REGULA LA ADJUDICACIÓN DE LOTES Y EDIFICACIONES ESTATALES DESTINADOS AL FUNCIONAMIENTO DE MERCADOS O CENTROS DE ABASTOS,DESCONOCIDO,"['Chirinos Venegas', 'Patricia Rosa', 'Yarrow Lumbreras', 'Norma Martina', 'Ciccia Vásquez', 'Miguel Ángel']",6,OTROS,ICA,2025-10-17,2025,10,Friday,E
12868/2025-CR,17/10/2025,"LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERES NACIONAL LA REGULACIÓN EN EL DISEÑO, FABRICACION, INSTALACION, OPERACIÓN, MANTENIMIENTO Y REEMPLAZO DE LAS CALDERAS EN LA PRODUCCION DE BIENES Y SERVICIOS A NIVEL NACIONAL",E,P,"Zeballos Madariaga, Carlos Javier, Reymundo Mercado, Edgard Cornelio, Bazán Narro, Sigrid Tesoro ver más...",17/10/2025,12868/2025-CR,"LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERES NACIONAL LA REGULACIÓN EN EL DISEÑO, FABRICACION, INSTALACION, OPERACIÓN, MANTENIMIENTO Y REEMPLAZO DE LAS CALDERAS EN LA PRODUCCION DE BIENES Y SERVICIOS A NIVEL NACIONAL",DESCONOCIDO,"['Zeballos Madariaga', 'Carlos Javier', 'Reymundo Mercado', 'Edgard Cornelio', 'Bazán Narro', 'Sigrid Tesoro']",6,OTROS,ICA,2025-10-17,2025,10,Friday,E
